Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Cutscene_start_10,"From the ancient entries of the elder, they found out that only with color, you can use magic.
Therefore, they immediately understood who needed to entrust the mission to save the planet.","Из древних записей Старейшины выяснили, что только обладая цветом, можно использовать магию.
Поэтому они сразу поняли, кому нужно доверить миссию по спасению планеты. ","Са старажытных запiсаў Старэйшыны даведалiся, што толькi валодаючы колерам можа выкарыстоўваць магiю.
Таму, убачыўшы Снудзi, яны адразу зразумелi, каму можа даверыць важную мiсiю па ратаваннi планеты.
Старэйшыны уручылi Снудзi кнiгу з магiчнымi ведамi, а пасля адвялi яго да Прызмаў.","З давніх записів старшого вони з’ясували, що лише з кольором ви можете використовувати магію.
Тому вони негайно зрозуміли, кому потрібно довіряти місію, щоб врятувати планету."
Cutscene_start_10_02,"Solemnly handing a book with magical knowledge, the elders took him to prisms.","Торжественно вручив Снуди книгу с магическими знаниями, Старейшины отвели его к Призмам.","Са старажытных запiсаў Старэйшыны даведалiся, што толькi валодаючы колерам можа выкарыстоўваць магiю.
Таму, убачыўшы Снудзi, яны адразу зразумелi, каму можа даверыць важную мiсiю па ратаваннi планеты.
Старэйшыны уручылi Снудзi кнiгу з магiчнымi ведамi, а пасля адвялi яго да Прызмаў.","Урочисто передаючи книгу з магічними знаннями, старші взяли його до призми."
Cutscene_start_11_01,"The mysterious prisms - the bearers of the color of Iris herself - were now gray and lifeless.
The elder Barbun explained the snood that once these prisms were brought from different planets.","Таинственные Призмы - носители цвета самой Айрис - стояли сейчас серыми и безжизненными. 
Старейшина Барбун объяснил Снуди, что когда-то эти Призмы были привезены с разных планет.","Таямнiчыя прызмы — носьбiты колеру самой Айрыс — цяпер былi цьмянымi, змярцвелымi i цалкам шэрымi.
Вярхоўны Старэйшына Барбун патлумачыў Снудзi, што ўсе гэтыя Прызмы былi прывезены з розных планет.","Таємничі призми - носії кольору самої Айріса - тепер були сірими та безжиттєвими.
Старійшина Барбун пояснив Snood, що після того, як ці призми були привезені з різних планет."
Cutscene_start_11_02,"If you visit each of them and fill the prisms with colored crystals,
And then return them to the temple, then Iris will again become the same yakra as before.","Если побывать на каждой из них и наполнить Призмы цветными кристаллами, 
а затем вернуть их в Храм, то Айрис снова станет такой же якрой, как прежде.","Вам трэба адправiцца на кожную планету, знайсцi крышталi i запоўнiць Прызмы.
Пасля, вярнуўшыся ў Храм, Айрыс зноў зможа заззяць усiмi колерамi вясёлкi.","Якщо ви відвідуєте кожен з них і наповните приму кольоровими кристалами,
А потім поверніть їх до храму, тоді Іріс знову стане такою ж яакрою, що і раніше."
Cutscene_start_12_01,"Never in life, the snood was not so scary.
He was to go on a dangerous journey to unknown planets.","Еще никогда в жизни, Снуди не было так страшно. 
Ему предстояло отправиться в опасное путешествие на неизведанные планеты.","Нiколi ў жыццi Снудзi не было так страшна, як зараз.","Ніколи в житті, снайоти не були такими страшними.
Він повинен був поїхати в небезпечну подорож на невідомі планети."
Cutscene_start_12_02,"But as soon as the snood was thinking about their loved ones, all doubts retreated.
Having gathered all his courage in a fist, he hit the road.","Но стоило Снуди подумать о своих близких, как все сомнения отступили.
Собрав все свое мужество в кулак, он отправился в путь.","
Ён павiнен быў адправiцца ў рызыкоўнае падарожжа да невядомых планет, каб выратаваць усiх айры.
","Але як тільки Snood думав про своїх близьких, всі сумніви відступили.
Зібравши всю свою мужність у кулаці, він потрапив у дорогу."
Cutscene_start_13_01,"The native Iris was left behind.
The fastest spacecraft headed for a green planet, the coordinates of which were on one of the prisms.","Родная Айрис осталась позади.
Самый быстрый космический корабль взял курс на Зеленую планету, координаты которой были на одной из Призм.","Родная Айрыс засталася ззаду.
Самы хуткi з усiх касмiчных караблёў накiраваўся на Зялёную планету, каардынаты якой былi на адной з Прызмаў.","Рідна оболонка залишилася позаду.
Найшвидший космічний корабель, що прямував до зеленої планети, координати яких були на одній із призми."
Cutscene_start_13_02,"Ahead, the most incredible adventure of his whole life awaited the snood ...",Впереди Снуди ждало самое невероятное приключение всей его жизни...,Наперадзе Снудзi чакала самая неверагодная прыгода ўсяго яго жыцця.,Попереду найнеймовірніша пригода всього його життя чекала сну ...
Cutscene_death_01,"Snoody lost this battle, but this is not the end of his story.","Снуди проиграл эту битву, но это еще не конец его истории.","Снудзi прайграў гэтую бiтву, але гэта не канец яго гiсторыi.","Снуді програв цю битву, але це не кінець його історії."
Cutscene_death_02,You can start the New Game or continue from last save.,Вы можете начать игру сначала или продолжить играть с последнего сохранения.,Вы можаце пачаць гульню спачатку або прадоўжыць з апошняга захавання.,Ви можете розпочати нову гру або продовжувати з останнього збереження.
Cutscene_end_01,The snood filled the prism and looks at the new prism.,Снуди наполнил призму и смотрит на новую призму.,Снуд напоўніў прызму і глядзіць на новую прызму.,Снуд наповнив призму і дивиться на нову призму.
Cutscene_end_02,"The snood is sleeping, the ship flies to the red planet.","Снуди спит, корабль подлетает к красной планете.","Снуд спіць, карабель ляціць на Чырвоную планету.","Снуд спить, корабель летить на червону планету."
Cutscene_end_03,Snub: one of the AIRI,Снуди: один из айри,Снуб: Адзін з эры,SNUB: Один із AIRI
Cutscene_endCredits_01,THX 4 PLAYING 1,Спасибо 4 играют 1,Thx 4 гуляе 1,Thx 4 грає 1
Cutscene_endCredits_02,THX 4 PLAYING 2,Спасибо 4 играют 2,Thx 4 гуляе 2,Thx 4 грає 2
Cutscene_endCredits_03,THX 4 PLAYING 3,Спасибо 4 играют 3,Thx 4 гуляе 3,Thx 4 грає 3
Rocket_Tutor_1,"To move, use <b> wsad </b>.
For interaction with the environment <b> f </b>","Для передвижения используйте <b>WSAD</b>.
Для взаимодействия с окружением <b>F</b>","Для перамяшчэння выкарыстоўвайце <b> wsad </b>.
Для ўзаемадзеяння з навакольным асяроддзем <b> f </b>","Для переміщення використовуйте <b> wsad </b>.
Для взаємодії з навколишнім середовищем <b> f </b>"
Rocket_Tutor_2,"Below are the main characteristics:
Red crystal - the amount of health;
Blue crystal - the amount of mana;
The yellow scale is the amount of stamina.","Внизу находятся основные характеристики:
Красный кристалл — количество здоровья;
Синий кристалл — количество маны;
Желтая шкала — количество стамины.","Ніжэй прыведзены асноўныя характарыстыкі:
Чырвоны крышталь - колькасць здароўя;
Сіні крышталь - колькасць маны;
Жоўтая шкала - гэта колькасць вынослівасці.","Нижче наведені основні характеристики:
Червоний кристал - кількість здоров'я;
Синій кристал - кількість мани;
Жовта шкала - це кількість витривалості."
L1_Tutor_1,"To attack with a staff, click the right mouse button and aim, and then click on the left button.","Чтобы атаковать посохом, зажмите правую кнопку мыши и прицельтесь, а затем нажмите на левую кнопку.","Каб атакаваць з персаналам, націсніце правую кнопку мышы і націсніце, а затым націсніце на левую кнопку.","Щоб атакувати персонал, натисніть праву кнопку миші та націліться, а потім натисніть на ліву кнопку."
L1_Tutor_2,Resources may fall out of defeated enemies. Colorless crystals restore characteristics. Colored crystals are needed in order to fill the prisms on the ship.,"Из побежденных врагов могут выпасть ресурсы. Бесцветные кристаллы восстанавливают характеристики. Цветные кристаллы нужны для того, чтобы заполнить призмы на корабле.","Рэсурсы могуць выпасці з пераможаных ворагаў. Бескарачаныя крышталі аднаўляюць характарыстыкі. Каляровыя крышталі неабходныя для таго, каб запоўніць прызму на караблі.",Ресурси можуть випасти з переможених ворогів. Безбарвні кристали відновити характеристики. Кольорові кристали потрібні для заповнення призми на кораблі.
